id,Title,開催年度,主催,開催時間,期間_date,期間_date_to,単日/複数日_date
2454,メタシトゥ（エドゥアルド・カッシーナ＆リヴァ・デュダレヴァ）,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170607,20170727
2455,ダニエル・シュワルツ,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170628,20170731
2457,特別展「江戸と北京」関連講座③日本に招来された清朝陶磁器,2016,東京都江戸東京博物館,20170322,"a:1:{s:4:""time"";b:0;}",,
2458,ホ・テウォン,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170703,20170731
2459,マリエット・オヴレ,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170704,20170731
2461,バルバラ・クエト,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170901,20171001
2462,セイット・バタル・クルト,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170901,20171016
2463,"LECTURE SPOT プロダンサーによる様々なジャンルのダンスワークショップ",2016,アーツカウンシル東京|国際交流基金アジアセンター|株式会社パルコ,20161120,"a:1:{s:4:""time"";a:3:{i:0;a:3:{s:9:""time_from"";s:8:""11:10:00"";s:7:""time_to"";s:8:""12:10:00"";s:10:""time_bikou"";s:6:""HIPHOP"";}i:1;a:3:{s:9:""time_from"";s:8:""12:20:00"";s:7:""time_to"";s:8:""13:20:00"";s:10:""time_bikou"";s:24:""コンテンポラリー"";}i:2;a:3:{s:9:""time_from"";s:8:""13:30:00"";s:7:""time_to"";s:8:""14:30:00"";s:10:""time_bikou"";s:5:""HOUSE"";}}}",,
2464,ステファニー・ガウス＆ヤナ・エスク,2017,トーキョーワンダーサイト,,"a:1:{s:4:""time"";b:0;}",20170901,20170930
2466,"BATTLE PARK ジャンル別チームトーナメントダンスバトル",2016,アーツカウンシル東京|国際交流基金アジアセンター|株式会社パルコ,20161120,"a:1:{s:4:""time"";b:0;}",,
2470,神無月茶席（2016年10月1日）,2016,,20161001,"a:1:{s:4:""time"";b:0;}",,
2471,"TALK SHOW 渋谷とダンスをキーワードにしたトークショー",2016,アーツカウンシル東京|国際交流基金アジアセンター|株式会社パルコ,20161119,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""15:00:00"";s:7:""time_to"";s:8:""16:00:00"";s:10:""time_bikou"";s:0:"""";}}}",,
