id,Title,開催年度,主催
4628,[2017]ギャラリートーク・アーティストトークの実施,2017,東京都美術館
4629,"""あの千住のボッタが 帰ってきた！～影絵 とトークで時間を超える～tsu-na-ga-ruのボッタ""",2017,"東京都|アーツカウンシル東京|東京藝術大学音楽学部・大学院国際芸術創造研究科|特定非営利活動法人音まち計画|足立区|東京藝術大学 多様性をつなぐ「アートコミュニケーション・クリエイタ」育成事業"
4630,"rooms 2",2017,東京都|アーツカウンシル東京|東京藝術大学音楽学部・大学院国際芸術創造研究科|特定非営利活動法人音まち計画|足立区|伊藤優里
4631,ミニコンサート,2016,"東京都|公益財団法人東京都歴史文化財団|子どもたちと芸術家の出あう街実行委員会|公益社団法人日本オーケストラ連盟|東京オーケストラ事業協同組合|一般社団法人日本クラシック音楽事業協会|一般社団法人 伶楽舎|月歩会|株式会社ヤマハミュージックジャパン|特定非営利活動法人子ども劇場東京都協議会|日本アニメ企画株式会社|公益財団法人東京フィルハーモニー交響楽団"
4634,練習会「ほくさい音楽博」,2017,東京都|アーツカウンシル東京|特定非営利活動法人トッピングイースト
4648,「ほくさい音楽博」ガムラン体験会,2017,東京都|アーツカウンシル東京|特定非営利活動法人トッピングイースト
4651,[2017]キッズデーの参加プログラム試行実施,2017,東京都美術館
4652,発表会「ほくさい音楽博」,2017,東京都|アーツカウンシル東京|特定非営利活動法人トッピングイースト
4655,日本バレエ協会公演「ラ・バヤデール」全幕,2016,東京都|公益財団法人東京都歴史文化財団|公益社団法人日本バレエ協会
4656,みまもり隊,2017,東京都|アーツカウンシル東京|特定非営利活動法人トッピングイースト
4663,[2017]障害のある方のための特別鑑賞会,2017,東京都美術館
4664,"ワークショップ inしょうぶまつり",2017,東京都|アーツカウンシル東京|東京藝術大学音楽学部・大学院国際芸術創造研究科|特定非営利活動法人音まち計画|足立区
4666,[2017]教員向け研修プログラムの実施,2017,東京都美術館
4667,東京バレエ団＜ウィンター・ガラ＞,2016,東京都|公益財団法人東京都歴史文化財団|公益財団法人日本舞台芸術振興会
4668,[2017]学校団体来館の対応（免除申請・電話相談・当日対応）,2017,東京都美術館
4669,東京ニコス体験会,2017,東京都|アーツカウンシル東京|特定非営利活動法人トッピングイースト
4670,"Maker Faire Tokyo 2017 出展",2017,東京都|アーツカウンシル東京|特定非営利活動法人トッピングイースト
4672,"東京Orchest-Lab 活動日",2017,東京都|アーツカウンシル東京|特定非営利活動法人トッピングイースト
4675,[2017]とびラーなど学び合いの環境整備,2017,東京都美術館
4676,"Relight Days",2017,東京都|アーツカウンシル東京|NPO法人インビジブル
4677,"Relight Committee",2017,東京都|アーツカウンシル東京|NPO法人インビジブル
