id,Title,決算額_year,決算額_price
4685,【東京アートポイント計画】東京スープとブランケット紀行,,
4709,【東京アートポイント計画】汐入タワープログラム,,
4713,"【東京アートポイント計画】Betweens Passport Initiative",,
4734,【誘致展】フォトジャーナリスト長倉洋海の眼　地を這い、未来へ駆ける,2017,
4736,"【誘致展】第42回 2017 JPS展 日本写真家協会",2017,
4738,【東京アートポイント計画】東京ステイ,,
4740,"【誘致展】世界報道写真展2017 WORLD PRESS PHOTO 2017",2017,
4748,【誘致展】写真新世紀東京展2017,2017,
4754,【誘致展】生誕100年　ユージン・スミス写真展,2017,
4759,"【誘致展】APAアワード2018 第46回 公益社団法人日本広告写真家協会公募展",2017,
4761,"【誘致展】清里フォトアートミュージアム収蔵作品展 原点を、永遠に。̶２０１８̶",2017,
4763,【東京アートポイント計画】500年のcommonを考えるプロジェクト「YATO」,,
4769,"【東京アートポイント計画】HAPPY TURN／神津島",,
4773,"【東京アートポイント計画】Artpoint Meeting",,
4777,図書室等の運営,2017,
4780,"""東京都による芸術文化を活用した被災地支援事業 Art Support Tohoku-Tokyo""",,
4784,教育普及等　2017,2017,
4799,[2017]都民芸術フェスティバル,2017,
4864,教育普及事業,2017,
4932,タレンツ・トーキョー,,
4940,"【人材育成事業】Tokyo Art Reserch Lab",,
4971,"""アーツカウンシル・フォーラム　オープン・フォーラム2018 「新しい社会システムの表現者たち－領域を超えたアプローチが導く文化と都市の未来－」""",,
4975,"""メディアアート国際シンポジウム 「“アート＆テクノロジー”－創造・教育・アーカイブのために－」""",,
4992,障害とパフォーミング・アーツ研究会,,
5003,【2017TOKAS】Creator-in-Residence,2017,
5007,"子供向け舞台芸術参加・公演プログラム  こども芸能体験ひろば",2017,
5010,"子供向け舞台芸術参加・公演プログラム  参加・体験・感動！ふれあいこどもまつり",2017,
5012,"舞踊分野の振興策 研究会",,
5029,東京芸術文化創造発信助成【長期助成プログラム】活動報告会,,
5048,東京文化プログラム助成,,
5073,"子供向け舞台芸術参加・公演プログラム  第14回子どもたちと芸術家の出あう街2018",2017,
5158,屋外収蔵,,
5202,常設展示,2017,
5249,【特別展】「江戸と北京-18世紀の都市と暮らし」展,2017,
5255,【特別展】没後150年　坂本龍馬,2017,
5269,芸劇ウインド・オーケストラ・アカデミー,,
5271,芸劇ジュニア･アンサンブル・アカデミー,,
5289,"Tokyo Tokyo FESTIVAL企画公募事業",,
5301,東京芸術文化創造発信助成　単年助成プログラム,,
5472,7つのトランスフォニー,2017,
5474,"OPEN SITE 2017-2018",2017,
